наименование	производитель	код
	bausch@Lomb.	61571
	bausch@Lomb.	61572
	Не определен	68517
	Не определен	68517
	Не определен	69908
	polpharma Pharm.Works	67862
	polpharma Pharm.Works	72960
	polpharma Pharm.Works	72960
	polpharma Pharm.Works	72960
	polpharma Pharm.Works	72960
	ningbo Raffini Import&Export Co.Ltd	58291
	ningbo Raffini Import&Export Co.Ltd	57268
	ningbo Longco Commodity Co., LTD.	56880
	ningbo Raffini Import&Export Co.Ltd	57269
	ningbo Raffini Import&Export Co.Ltd	57269
	Не определен	72322
	Не определен	72867
	Не определен	73137
	Не определен	72914
	Не определен	72914
	Не определен	73200
	Не определен	72844
	Не определен	72844
	Не определен	51880
	Не определен	51880
	Не определен	66354
	Не определен	72209
	Не определен	33922
	Не определен	71480
	pfizer	65540
	pfizer	65540
	Не определен	33411
	Не определен	33411
	Не определен	68300
	Не определен	68300
	Не определен	49388
	Не определен	49388
	Не определен	49388
	Не определен	69406
	Не определен	67668
	Не определен	65079
	Не определен	69989
	Не определен	70636
	Не определен	70084
	Не определен	70027
	laboratorios Medicamentos Intern	71720
	Не определен	66002
	Не определен	30301
	Не определен	27508
	Не определен	27508
	Не определен	55362
	Не определен	64364
	Не определен	70377
	Не определен	70377
	Не определен	72598
	penn Pharmaceutical Services Lim	67104
	Не определен	69976
	Не определен	72223
	"IDS BORJOMI GEORGIA"	41682
	"IDS BORJOMI GEORGIA"	41682
	Не определен	64707
	Не определен	67579
	Не определен	32869
	Не определен	50891
	Не определен	27516
	Не определен	36801
	Не определен	60966
	Не определен	60966
	Не определен	60966
	Не определен	33415
	Не определен	32986
	Не определен	39845
	Не определен	71347
	Не определен	66103
	Не определен	72962
	Не определен	35762
	astrazeneca/Bristol Myers Squibb	71132
	Не определен	60892
	Не определен	70117
	Не определен	72172
	Не определен	72172
	Не определен	63081
	Не определен	66972
	Не определен	62926
	lundbeck	58952
	lundbeck	58906
	lundbeck	58906
	Не определен	63403
	rompharm	71225
	Не определен	56971
	Не определен	56971
	Не определен	73081
	Не определен	71095
	Не определен	71095
	Не определен	73062
	gedeon Richter	69230
	Не определен	71337
	a.Nattermann	71876
	Не определен	73096
	Не определен	68900
	Не определен	27534
	lozen Pharma Pvt. Ltd.	68571
	bosnalijek d.d.	71180
	bosnalijek d.d.	71180
	Не определен	45506
	Не определен	30626
	Не определен	72203
	Не определен	63926
	Не определен	65732
	Не определен	28338
	Не определен	28338
	Не определен	66086
	Не определен	30397
	Не определен	29003
	Не определен	31894
	Не определен	66090
	losan Pharma GmbH/Doctor Falk Ph	62994
	Не определен	37964
	Не определен	61295
	Не определен	64146
	Не определен	58601
	Не определен	58601
	Не определен	72323
	Не определен	72500
	Не определен	72502
	Не определен	72499
	Не определен	72501
	delpharm Reims	72877
	Не определен	66873
	Не определен	65302
	bubchen	40377
	bubchen	73208
	Не определен	31709
	Не определен	27691
	Не определен	72525
	Не определен	60041
	Не определен	63259
	Не определен	57749
	Не определен	61894
	Не определен	40744
	Не определен	42280
	Не определен	42278
	Не определен	40738
	Не определен	40737
	Не определен	42273
	Не определен	40742
	Не определен	42276
	Не определен	40776
	Не определен	48960
	Не определен	27601
	Не определен	31239
	Не определен	31114
	Не определен	30977
	Не определен	71883
	"Eagle Nutrionals, Inc." US	59448
	Не определен	31420
	Не определен	66907
	Не определен	66908
	Не определен	32874
	Не определен	39626
	Не определен	64171
	Не определен	61506
	Не определен	66979
	Не определен	66979
	Не определен	63864
	Не определен	46535
	Не определен	27542
	"Eagle Nutrionals, Inc." US	41973
	Не определен	51149
	Не определен	37860
	Не определен	73193
	Не определен	44059
	Не определен	56404
	Не определен	52493
	Не определен	58805
	Не определен	49080
	Не определен	49080
	Не определен	61289
	Не определен	73210
	Не определен	43300
	Не определен	30566
	Не определен	61864
	Не определен	66708
	Не определен	36092
	Не определен	36092
	Не определен	36092
	balkanpharma Troyan	71269
	balkanpharma	70850
	balkanpharma	70850
	Не определен	72842
	Не определен	72840
	Не определен	71541
	Не определен	72438
	Не определен	50775
	Не определен	52392
	Не определен	52392
	Не определен	43319
	Не определен	63264
	Не определен	72450
	Не определен	72450
	Не определен	71856
	Не определен	72341
	Не определен	63290
	Не определен	65744
	Не определен	62633
	Не определен	27569
	Не определен	65013
	Не определен	67835
	Не определен	69326
	Не определен	51725
	Не определен	68574
	Не определен	67883
	Не определен	67638
	Не определен	70619
	Не определен	72511
	Не определен	70925
	Не определен	71938
	Не определен	64751
	Не определен	72907
	Не определен	71456
	Не определен	69305
	Не определен	69737
	Не определен	69293
	Не определен	72933
	Не определен	64400
	Не определен	69790
	Не определен	27578
	astellas Pharma Europe	70000
	Не определен	27579
	egis	55092
	Не определен	43708
	Не определен	55842
	Не определен	51848
	Не определен	66437
	Не определен	66210
	Не определен	66210
	Не определен	51468
	Не определен	72090
	Не определен	72090
	Не определен	59893
	Не определен	40551
	Не определен	48530
	Не определен	66503
	Не определен	72346
	Не определен	67499
	Не определен	69578
	Не определен	67109
	Не определен	30481
	Не определен	27593
	Не определен	70192
	Не определен	70192
	Не определен	51956
	Не определен	70985
	Не определен	70985
	Не определен	56919
	"Eagle Nutrionals, Inc." US	50941
	Не определен	59474
	Не определен	50069
	Не определен	40006
	Не определен	65792
	Не определен	27610
	Не определен	70127
	Не определен	56852
	Не определен	27613
	Не определен	27613
	Не определен	27614
	Не определен	54108
	aNCOROTTI COSMETICS S.P.A.	66368
	Не определен	50586
	Не определен	57723
	Не определен	27615
	sentiss Pharma PVT.LTD	54825
	bayer Weimar	68884
	bayer Weimar	72355
	bayer Weimar	72355
	Не определен	69427
	janssen pharmaceutica	54731
	janssen pharmaceutica	71516
	Не определен	61656
	Не определен	71037
	Не определен	55270
	Не определен	73222
	Не определен	73222
	Не определен	62423
	Не определен	45361
	Не определен	71129
	Не определен	71129
	Не определен	64019
	Не определен	64019
	Не определен	73097
	Не определен	68470
	Не определен	60318
	vitabiotics Ltd	67975
	Не определен	47509
	Не определен	69583
	Не определен	73112
	Не определен	73112
	biovencer Healthcare	71613
	Не определен	46049
	Не определен	46049
	Не определен	71030
	Не определен	73076
	pez Production Europe Kft. HU	65429
	Не определен	27637
	Не определен	32929
	Не определен	70214
	Не определен	73044
	j.Luehders GmbH Zum Reiherhorst 6, 21435	73225
	j.Luehders GmbH Zum Reiherhorst 6, 21435	73226
	Не определен	63163
	Не определен	27642
	Не определен	27643
	Не определен	41119
	"Eagle Nutrionals, Inc." US	43494
	Не определен	27646
	Не определен	56410
	walmark	72603
	walmark	65997
	walmark	73100
	Не определен	71350
	Не определен	58603
	Не определен	27660
	Не определен	27660
	Не определен	62776
	Не определен	59189
	Не определен	61481
	Не определен	62782
	Не определен	62644
	Не определен	62644
	Не определен	70777
	Не определен	70777
	Не определен	73154
	Не определен	73155
	Не определен	70778
	tZMO S.A.	73159
	Не определен	27672
	Не определен	33931
	Не определен	33931
	Не определен	69298
	Не определен	69298
	Не определен	72615
	Не определен	64179
	Не определен	64179
	Не определен	33074
	Не определен	33074
	Не определен	30399
	delpharm Huningue S.A.S.	54272
	Не определен	61706
	Не определен	39890
	Не определен	27681
	Не определен	35849
	Не определен	35849
	Не определен	27684
	Не определен	27684
	Не определен	42739
	Не определен	67037
	Не определен	66180
	Не определен	43618
	Не определен	58373
	Не определен	71886
	Не определен	46562
	Не определен	46562
	Не определен	31961
	Не определен	31961
	Не определен	63254
	Не определен	71887
	Не определен	63255
	Не определен	52244
	Не определен	52244
	Не определен	39160
	Не определен	69680
	Не определен	27815
	Не определен	27815
	Не определен	73327
	Не определен	64256
	Не определен	73212
	Не определен	73212
	Не определен	53431
	Не определен	53431
	Не определен	70931
	Не определен	56161
	Не определен	27695
	Не определен	27697
	Не определен	72725
	ningbo Raffini Import&Export Co.Ltd	71696
	pliva Hrvatska	54533
	pliva Hrvatska	54533
	Не определен	27703
	Не определен	63889
	Не определен	61004
	Не определен	30498
	Не определен	30498
	Не определен	48476
	Не определен	49238
	Не определен	43158
	Не определен	43158
	Не определен	27708
	Не определен	27708
	Не определен	59993
	Не определен	56120
	Не определен	56681
	Не определен	27711
	unique Pharmaceutical Lab	71114
	unique Pharmaceutical Lab	71819
	Не определен	64565
	Не определен	64565
	Не определен	41329
	Не определен	71669
	Не определен	72050
	Не определен	62131
	Не определен	32729
	Не определен	32626
	Не определен	32626
	Не определен	69725
	Не определен	34556
	Не определен	63410
	Не определен	70144
	Не определен	43795
	Не определен	60672
	Не определен	54150
	Не определен	43613
	Не определен	44876
	Не определен	44876
	Не определен	52313
	Не определен	69317
	Не определен	65209
	Не определен	72863
	Не определен	44607
	Не определен	71542
	Не определен	61218
	merz Pharmaceuticals Gmbh	66511
	Не определен	27733
	Не определен	27733
	Не определен	70533
	Не определен	67736
	Не определен	70047
	Не определен	70047
	Не определен	42992
	vetProm AD	72857
	Не определен	35721
	Не определен	35721
	Не определен	56052
	Не определен	72667
	Не определен	27736
	Не определен	38662
	Не определен	72613
	Не определен	73175
	Не определен	73326
	abbvie S.r.L	71050
	abbvie S.r.L	72006
	abbvie S.r.L	72006
	Не определен	73082
	Не определен	73082
	Не определен	65253
	Не определен	65253
	Не определен	65235
	Не определен	68527
	Не определен	71276
	Не определен	27750
	Не определен	64991
	Не определен	72843
	Не определен	41667
	Не определен	63162
	Не определен	63162
	Не определен	72858
	Не определен	56767
	biologische Heilmittel Heel GmbH	71814
	Не определен	71399
	Не определен	71399
	Не определен	71427
	haupt Pharma Amareg GmbH/Medinov	70806
	Не определен	71460
	Не определен	58810
	Не определен	71384
	Не определен	70606
	Не определен	72368
	Не определен	70824
	Не определен	70824
	Не определен	27765
	opella Healthcare Hungary Ltd	65902
	opella Healthcare Hungary Ltd	65902
	Не определен	27767
	Не определен	27772
	Не определен	73095
	catalent Italy S.p.A.	72370
	Не определен	60204
	Не определен	62335
	Не определен	70195
	Не определен	72608
	Не определен	72968
	Не определен	72968
	Не определен	65509
	Не определен	72895
	Не определен	72895
	Не определен	67052
	Не определен	66234
	Не определен	71826
	Не определен	57249
	Не определен	72093
	Не определен	72093
	Не определен	27792
	Не определен	71558
	Не определен	71558
	Не определен	71558
	Не определен	67589
	Не определен	71112
	Не определен	67574
	Не определен	53450
	Не определен	72061
	Не определен	72062
	Не определен	72194
	Не определен	68303
	altek Medical (Kunshan) Limited/	66917
	Не определен	51654
	ascensia Diabetes Care Holdings	54518
	Не определен	44194
	Не определен	69901
	Не определен	72150
	Не определен	65260
	Не определен	46892
	Не определен	65507
	Не определен	35554
	Не определен	73098
	Не определен	71001
	zhjiang Ark Industry Co. Ltd	72926
	Не определен	32129
	Не определен	31661
	Не определен	31661
	boiron Laborato	66109
	boiron Laborato	66109
	Не определен	55088
	Не определен	58773
	Не определен	27812
	Не определен	42334
	Не определен	42334
	Не определен	30670
	Не определен	30670
	Не определен	53978
	Не определен	53978
	egis	54874
	egis	54874
	Не определен	72470
	Не определен	30577
	Не определен	30577
	suzhou Hengxiang Import & Export	65311
	Не определен	34263
	Не определен	27819
	Не определен	52212
	Не определен	41038
	Не определен	41038
	Не определен	65874
	Не определен	72900
	Не определен	60483
	iNSTITUTO ESPANOL S.A.	71338
	delpharm Reims	73025
	Не определен	57793
	instituto De Angely S.R.L.	70319
	Не определен	72969
	Не определен	70016
	Не определен	70014
	Не определен	70015
	Не определен	61125
